24.68562874251498, 0.3320276497695853
27, 0.3707709934426574
28.5, 0.39266799977795275
29.999999999999986, 0.4140256532637593
31.499999999999986, 0.43581985405554746
33, 0.45777479133239496
34.5, 0.4797377447372133
36, 0.5010591128575703
37.5, 0.5229614571899469
39, 0.5457685125565324
40.49999999999999, 0.5674646855948092
41.99999999999999, 0.589130077999872
43.5, 0.6094335558344643
45, 0.6318682921694085
46.5, 0.6563547892069976
48, 0.6789838615161806
49.49999999999999, 0.7002663324915848
50.99999999999999, 0.7199149789316182
52.5, 0.7409753556657315
54, 0.7612710410210217
55.49999999999999, 0.7802915955177689
57, 0.7978626130613542
58.5, 0.8132061957948635
59.99999999999999, 0.8310821523570069
61.5, 0.8486346157376345
63, 0.8630453862364202
64.5, 0.8769072262986985
66, 0.8898814523092146
67.5, 0.8989902614971401
69, 0.9076360753987951
70.5, 0.9183619836326941
72, 0.92907958489673
73.5, 0.9384145294163833
75, 0.9454138233084662
76.5, 0.9513836510683675
78, 0.958059969579469
79.5, 0.9656245627310395
81, 0.972708775877537
82.5, 0.9789299456975868
84, 0.9844195916353983
85.5, 0.9895802045038264
87, 0.9943762879021847
88.5, 0.9982009562729998
90, 1
